Blog	here	want	feature	how	series	re	service	project	tech	best	much	life	things	had	has	right	old	people	support	full	time	team	love	working	data	so	years	didn	internet	million	one	open	future	say	take	ways	going	where	up	many	photos	being	around	world	her	ago	am	an	as	tv	th	case	small	past	social	company	its	always	found	really	number	self	also	play	sometimes	set	see	read	using	couple	d	be	by	into	us	try	video	let	great	makes	next	high	doing	could	system	should	means	email	ve	off	web	become	does	problem	worth	work	after	then	them	they	created	another	what	do	away	we	com	night	post	months	way	was	together	change	live	can	still	not	now	year	space	shows	than	online	america	only	between	comes	these	media	real	business	your	start	lot	since	month	very	site	help	actually	american	latest	pretty	during	won	both	else	look	while	used	game	some	run	doesn	youtube	go	facebook	started	links	including	times	need	based	probably	course	i	well	twitter	home	he	stories	friends	companies	even	new	ever	never	call	tell	give	president	before	better	went	side	content	isn	seen	seem	don	m	said	against	three	if	make	left	just	down	me	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	long	little	were	show	enough	get	morning	reading	according	those	different	same	money	again	important	u	public	two	through	good	everyone	house	hard	idea	least	part	most	find	please	point	simple	create	big	bit	google	often	back	from	ll	day	february	taking	thought	like	about	but	under	every	would	phone	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	watch	however	news	been	several	donald	ice	everything	why	no	when	says	today	trump	name	she	place	white	any	ideas	sure	come	week	without	seems	blog	or	there	all	list	design	might	feel	story	nothing	his	him	art	question	called	users	once	apple	app	use	few	women	something	instead	our	out	their	which	who	last	will	other	smart	know	because	getting	own	made	book
Schneier on Security	2	0	0	1	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	4	0	0	0	1	0	0	1	2	0	2	0	0	0	2	0	0	0	0	2	0	0	0	2	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	1	0	0	2	0	0	1	0	1	0	4	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	5	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	1	0	0	11	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	3	3	0	2	0	0	1	0	0	0	0	0	1	3	1	0	2	0	0	16	0	0	0	16	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	7	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0
Search Engine Roundtable	4	1	6	1	2	0	0	0	0	0	0	0	0	1	3	0	3	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	3	1	0	3	0	0	0	0	1	2	0	0	0	0	1	2	3	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	29	0	0	1	0	0	2	0	0	0	2	2	0	0	1	0	0	0	0	4	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	1	0	3	0	1	0	4	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0
Copyblogger	0	0	0	6	0	3	0	0	0	0	0	1	0	2	0	3	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	3	3	0	2	3	0	0	0	0	0	3	0	0	7	7	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	2	10	2	0	0	3	1	2	2	0	0	0	1	0	3	0	1	1	0	0	0	0	1	3	0	0	0	0	0	4	0	4	0	1	0	0	2	3	1	5	0	0	11	0	0	4	0	0	0	3	0	2	1	0	0	0	2	0	0	0	0	2	1	0	3	4	23	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	11	2	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	5	2	0	2	4	2	1	0	2	1	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	16	0	1	1	1	0	3	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	3	0	0	0	0	0	0	2	2	3	0	0	1	0	1	0	0	0	0	0	0	5	2	0	0	0	1	5	0	0	1	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	1	3	3	0	3	2	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	2	2	0	1	0	0	0	0	3	1	0	1	0	0
John Battelle's Search Blog	4	1	0	6	0	1	0	0	0	0	2	0	1	0	2	1	0	1	0	0	1	0	0	1	8	7	2	0	0	0	5	0	1	0	0	0	1	1	3	2	0	0	0	0	0	2	0	2	3	0	0	0	1	0	4	3	1	0	1	2	0	0	1	0	0	0	0	2	0	0	5	2	1	0	0	0	0	3	0	0	0	0	2	0	0	3	0	0	3	0	0	0	5	0	0	0	0	0	1	2	0	0	7	5	0	3	0	1	21	1	1	0	0	0	0	0	0	10	2	7	0	0	1	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	26	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	5	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	22	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	4	0	3	0	0	0	0	0	2	1	0	8	0	1	0	0	0	1	1	5	0	3	0	0	11	0	0	3	2	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	4	5	0	0	0	0	0	1	0	0	0	0	0	1	0	1	20	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	6	2	1	4	1	1	0	0	0
Engadget RSS Feed	0	1	2	1	3	4	2	0	2	1	1	0	0	1	12	1	0	2	0	0	0	1	0	0	0	2	0	1	0	0	4	2	0	0	1	0	1	1	4	0	0	0	0	3	1	1	0	9	6	0	1	0	0	0	3	3	16	0	1	0	0	0	2	2	2	0	0	0	2	2	1	3	4	4	1	1	5	0	1	0	1	1	1	0	1	0	0	0	0	3	0	0	0	1	0	0	5	0	0	1	0	2	3	0	0	3	0	2	0	1	2	2	0	0	2	10	2	3	3	4	1	0	1	1	0	0	0	0	1	1	1	0	4	0	0	0	1	1	3	0	1	0	1	1	0	2	0	0	0	3	0	1	0	0	2	3	0	5	0	0	1	1	0	0	0	0	0	1	3	1	2	3	1	1	1	8	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	4	2	0	7	3	0	0	0	1	2	0	1	0	0	1	0	1	0	0	0	5	0	4	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	5	5	0	1	0	0	3	1	9	0	3	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	1	3	2	5	3	0	0	0	0	0	1	1	1	1	0	0	2	2	1	0	0	0	1	0	1	0	0	3	3	4	1	0	3	0	0	0	1	1	0	0	0	2	0	2	2	3	0	0	0	1	2	3	4	0	0	2	7	1	0	0	2	2	4	0	0
TMZ.com	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	4	0	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	1	5	0	0	1	0	0	11	1	0	5	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	4	5	6	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	10	0	0	0	1	2	0	1	0	4	0	1	1	0	0	10	0	0	0	1	2	2	1	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	0	3	0	0	1	0	2	0	0	2	0	2	1	0	0	1	0	1	0	1	0	0	2	0	1	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	4	0	0	0	1	0	3	4	4	0	0	2	0	1	0	0	2	0	0	3	0	2	0	0	0	0	1	0	0	0	4	1	3	0	0	0	2	2	2	0	5	0	7	0	3	1	0	0	1	2	1	0	0	2	0	3	0	0	1	0	0	0	10	4	0	0	1	0	0	0	0	0	0	1	0	0	0	6	1	1	6	2	1	0	0	0	0	3	0	0	1
NewsBusters	2	1	0	6	0	5	0	0	0	0	5	0	0	9	7	0	2	6	1	2	2	0	0	0	0	4	2	2	1	0	8	0	0	2	0	0	0	2	9	2	0	5	2	1	6	0	1	11	23	4	2	0	0	2	3	0	10	0	2	1	0	2	0	0	0	1	1	0	2	1	0	7	12	4	3	0	0	1	0	0	0	0	1	4	0	0	0	0	2	1	0	2	1	0	0	5	6	5	4	14	0	1	5	2	0	3	2	1	5	0	1	11	1	1	2	3	1	11	4	1	0	1	1	1	2	2	0	0	2	20	0	0	3	0	0	2	3	4	0	0	1	5	0	0	9	1	1	0	1	5	2	0	0	1	1	0	0	0	0	0	1	12	0	2	0	1	3	2	2	0	6	1	0	2	2	22	1	1	0	0	0	22	2	0	0	1	0	1	0	0	1	3	1	7	0	6	1	4	4	4	0	3	1	0	2	1	3	31	0	0	3	1	0	0	6	7	2	3	5	1	2	0	1	3	0	3	1	5	4	2	1	1	1	10	2	0	0	2	0	1	0	2	0	0	0	0	0	1	3	8	0	2	6	2	1	4	10	7	0	2	3	0	0	1	1	11	0	0	1	0	2	2	1	1	4	0	1	1	10	2	1	6	1	1	1	2	5	3	2	34	0	7	1	13	1	0	1	0	4	1	0	2	1	4	6	0	0	3	0	5	1	12	0	1	0	1	0	0	0	0	0	1	5	0	0	2	9	12	6	10	3	5	0	0	1	4	1	1	1	0
ProBlogger	1	8	0	19	9	9	2	2	6	0	0	0	1	0	1	0	0	1	0	3	3	0	0	0	0	3	2	0	0	0	12	0	0	0	0	0	2	3	1	0	0	0	1	1	13	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	4	0	0	3	2	0	4	0	0	0	0	0	0	0	0	3	0	3	0	0	5	1	0	1	0	0	0	3	2	1	1	4	2	1	0	3	0	11	0	0	20	1	0	1	0	0	0	2	2	1	0	9	0	0	1	3	0	0	3	0	2	0	0	13	28	12	0	1	3	0	1	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	10	0	0	0	1	0	2	3	19	0	0	1	0	14	0	0	1	10	0	1	0	7	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	4	0	0	1	0	4	1	2	1	0	0	2	0	0	0	3	21	0	0	0	1	0	5	0	1	0	0	0	0	0	3	0	0	0	2	1	0	1	0	0	0	0	1	2	0	1	0	0	2	1	0	0	1	1	23	2	3	1	1	0	0	7	0	0	2	0	0	4	0	1	17	3	2	1	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	2	0	4	0	12	0	0	1	0	0	0	3	0	0	0	0	0	39	6	0	4	1	0	2	0	13	0	6	0	0	1	0	0	3	0	0	0	0	0	1	0	17	2	9	1	5	4	0	0	0	0	0	0	0	1	0
Steve Pavlina	1	4	2	14	0	1	2	1	0	0	1	6	0	0	2	0	0	24	0	0	8	0	1	0	0	4	0	1	1	3	4	1	0	1	0	0	0	2	4	3	0	1	0	0	0	0	4	5	1	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	1	0	2	0	0	0	3	4	1	4	0	1	11	0	0	1	3	2	4	1	0	1	0	2	8	1	0	0	0	2	0	0	1	0	2	2	3	0	3	7	0	9	1	0	20	1	0	3	0	1	1	5	0	1	3	4	0	0	2	5	0	2	1	1	0	0	1	3	10	2	1	2	1	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	3	0	0	0	0	32	4	0	0	5	0	0	0	2	7	1	0	4	0	0	0	3	2	1	0	0	0	0	0	2	5	0	0	0	7	0	0	4	0	1	0	1	1	0	0	1	0	0	0	0	22	1	0	0	1	0	3	2	0	0	1	0	0	0	1	2	0	0	1	3	0	0	0	0	1	0	0	1	0	0	1	0	2	9	0	0	1	0	4	3	2	0	0	0	4	6	1	0	0	0	0	14	0	0	1	0	1	0	9	7	3	0	0	0	0	0	1	1	3	2	0	0	1	1	2	5	0	4	0	0	0	0	0	1	0	2	0	1	1	0	2	9	1	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	2	2	0	1	1	6	0	1	2	1	3	1	1	20	4	1	1	1	0	0
